task,num_simulations,num_observation,algorithm,C2ST,C2ST_Z,MMD,LC2ST-accuracy-z,LC2ST-probasMean-z,exp-LC2ST-accuracy-z,exp-LC2ST-probasMean-z,LC2ST-accuracy-theta,LC2ST-probasMean-theta,exp-LC2ST-accuracy-theta,exp-LC2ST-probasMean-theta,RT,NLTP,folder
two_moons,10⁴,1,NPE,0.6103,0.6193,2.8133392e-05,0.5656,0.54435426,0.6195,0.61945,0.4214,0.5097426,0.5416,0.56285,4.699781799316407,-3.832531213760376,0
two_moons,10⁴,8,NPE,0.66475,0.6824,0.007564068,0.5297,0.5332554,0.60015,0.5908,0.5565,0.51906383,0.573,0.58255,7.2915191650390625,-4.058527946472168,7
two_moons,10⁴,7,NPE,0.5391,0.6278,0.0030413866,0.5258,0.52033937,0.56775,0.56905,0.3118,0.48495874,0.5244,0.52815,9.752415974934896,-3.9772255420684814,6
two_moons,10⁴,2,NPE,0.52415,0.5313,6.914139e-06,0.5276,0.51464164,0.5598,0.5597,0.2465,0.48277873,0.5199,0.5268,8.049366760253907,-1.9910131692886357,1
two_moons,10⁴,9,NPE,0.5635,0.5634,0.0016336441,0.5291,0.5202589,0.5816,0.5746,0.4547,0.49369702,0.55005,0.5544,11.394544474283856,-4.756020545959473,8
two_moons,10⁴,5,NPE,0.74985,0.74865,0.000741601,0.6352,0.51384133,0.5564,0.55595,0.5811,0.5566433,0.53365,0.52735,6.171682739257813,-4.694863319396973,4
two_moons,10⁴,4,NPE,0.61635,0.64655,0.004016936,0.5493,0.5561531,0.64255,0.63955,0.5083,0.54263943,0.6114,0.61025,4.879707336425781,-2.887908697128296,3
two_moons,10⁴,3,NPE,0.59875,0.63385,8.952618e-05,0.6071,0.53346586,0.59365,0.5938,0.6767,0.5195596,0.59395,0.59635,5.76182607014974,-3.462684392929077,2
two_moons,10⁴,6,NPE,0.58055,0.6119,4.9829483e-05,0.5417,0.5127088,0.5788,0.5826,0.597,0.5198655,0.5682,0.55785,10.489242553710938,-3.743777751922608,5
gaussian_mixture,10⁵,10,NPE,0.5778,0.60065,0.023773491,0.6078,0.6952902,0.7791,0.77825,0.6134,0.70876783,0.7739,0.7731,34.65829671223958,3.158169746398926,9
gaussian_mixture,10⁵,1,NPE,0.56895,0.60645,0.019624233,0.5255,0.5872344,0.6701,0.67135,0.603,0.59834665,0.67865,0.679,27.113169352213543,-1.6200321912765503,0
gaussian_mixture,10⁵,8,NPE,0.5423,0.5652,0.006965041,0.6824,0.671095,0.78415,0.7878,0.7257,0.6536161,0.7912,0.7903,20.40831095377604,-1.9221341609954836,7
gaussian_mixture,10⁵,7,NPE,0.50995,0.5509,0.0012559891,0.5674,0.66860557,0.75545,0.7571,0.5581,0.68046796,0.75335,0.7573,15.06883341471354,3.158337116241455,6
